frame,time,shoulder_pan_raw,shoulder_lift_raw,elbow_flex_raw,wrist_flex_raw,wrist_roll_raw,gripper_raw
348,11.6,2093,857,2762,1040,928,1601
349,11.633333333333333,2098,857,2790,1030,928,1601
350,11.666666666666666,2103,857,2819,1019,929,1601
351,11.7,2111,857,2847,1009,929,1601
352,11.733333333333333,2121,857,2878,997,928,1601
353,11.766666666666667,2126,857,2908,982,928,1601
354,11.8,2127,857,2940,969,928,1601
355,11.833333333333334,2129,857,2972,959,929,1601
356,11.866666666666667,2132,857,3003,950,932,1601
357,11.9,2138,857,3029,944,930,1601
358,11.933333333333334,2141,857,3055,935,930,1601
359,11.966666666666667,2143,857,3061,928,930,1601
360,12.0,2150,857,3061,925,933,1601
361,12.033333333333333,2167,857,3061,934,933,1601
362,12.066666666666666,2173,857,3061,938,934,1601
363,12.1,2180,857,3061,939,934,1601
364,12.133333333333333,2190,857,3063,939,934,1601
365,12.166666666666666,2197,857,3065,940,934,1601
366,12.2,2197,857,3065,943,934,1601
367,12.233333333333333,2197,857,3066,943,934,1601
368,12.266666666666667,2197,857,3066,937,934,1601
369,12.3,2197,857,3066,928,935,1601
370,12.333333333333334,2197,857,3065,917,941,1601
371,12.366666666666667,2197,857,3062,897,951,1601
372,12.4,2197,857,3062,885,955,1601
373,12.433333333333334,2197,857,3063,869,957,1619
374,12.466666666666667,2197,857,3063,848,953,1615
375,12.5,2197,857,3063,820,939,1601
376,12.533333333333333,2197,857,3066,798,917,1601
377,12.566666666666666,2197,857,3067,794,903,1601
378,12.6,2197,857,3067,799,910,1601
379,12.633333333333333,2197,857,3067,805,934,1601
380,12.666666666666666,2197,857,3067,830,972,1601
381,12.7,2197,857,3067,864,989,1601
382,12.733333333333333,2196,857,3067,900,998,1601
383,12.766666666666667,2196,857,3067,922,1001,1601
384,12.8,2196,857,3066,937,1003,1601
385,12.833333333333334,2196,857,3062,955,1008,1601
386,12.866666666666667,2196,857,3062,975,1014,1601
387,12.9,2196,857,3062,996,1014,1601
388,12.933333333333334,2196,857,3062,1020,1014,1601
389,12.966666666666667,2196,857,3061,1047,1019,1601
390,13.0,2196,857,3061,1067,1029,1601
391,13.033333333333333,2196,857,3060,1088,1037,1601
392,13.066666666666666,2196,857,3060,1111,1051,1601
393,13.1,2196,857,3060,1133,1061,1601
394,13.133333333333333,2196,857,3055,1158,1062,1601
395,13.166666666666666,2196,857,3044,1189,1062,1601
396,13.2,2196,858,3026,1228,1067,1601
397,13.233333333333333,2196,864,3003,1269,1067,1601
398,13.266666666666667,2196,878,2970,1312,1067,1601
399,13.3,2196,898,2933,1350,1067,1601
400,13.333333333333334,2196,917,2892,1395,1067,1601
401,13.366666666666667,2198,933,2851,1446,1067,1601
402,13.4,2198,946,2815,1489,1067,1601
403,13.433333333333334,2198,952,2788,1521,1067,1601
404,13.466666666666667,2199,953,2767,1550,1067,1601
405,13.5,2200,951,2756,1575,1067,1601
406,13.533333333333333,2201,947,2751,1591,1067,1601
407,13.566666666666666,2203,942,2750,1610,1067,1601
408,13.6,2206,937,2745,1641,1067,1601
409,13.633333333333333,2207,935,2737,1680,1067,1601
410,13.666666666666666,2207,935,2729,1717,1067,1601
411,13.7,2207,938,2717,1764,1068,1601
412,13.733333333333333,2207,942,2703,1810,1073,1601
413,13.766666666666667,2207,946,2693,1859,1078,1601
414,13.8,2207,946,2675,1908,1078,1601
415,13.833333333333334,2207,946,2661,1960,1079,1601
416,13.866666666666667,2207,948,2645,2011,1079,1601
417,13.9,2207,950,2627,2069,1079,1601
418,13.933333333333334,2207,953,2608,2134,1079,1601
419,13.966666666666667,2207,958,2587,2212,1079,1601
420,14.0,2207,965,2552,2307,1079,1601
421,14.033333333333333,2207,973,2519,2389,1079,1601
422,14.066666666666666,2207,978,2495,2452,1079,1601
423,14.1,2208,982,2472,2503,1080,1601
424,14.133333333333333,2208,984,2456,2541,1080,1601
425,14.166666666666666,2208,988,2444,2570,1082,1601
426,14.2,2208,990,2431,2599,1082,1601
427,14.233333333333333,2209,993,2418,2623,1082,1601
428,14.266666666666667,2209,996,2405,2648,1082,1601
429,14.3,2209,1000,2391,2669,1082,1601
430,14.333333333333334,2209,1005,2373,2699,1082,1601
431,14.366666666666667,2209,1010,2356,2731,1083,1601
432,14.4,2209,1017,2340,2764,1089,1601
433,14.433333333333334,2209,1022,2322,2798,1100,1601
434,14.466666666666667,2209,1023,2309,2828,1110,1601
435,14.5,2209,1027,2298,2851,1121,1601
436,14.533333333333333,2209,1030,2287,2876,1131,1601
437,14.566666666666666,2209,1034,2279,2898,1141,1601
438,14.6,2207,1039,2270,2925,1158,1601
439,14.633333333333333,2207,1045,2259,2955,1176,1601
440,14.666666666666666,2207,1052,2253,2984,1191,1601
441,14.7,2207,1057,2247,3014,1202,1601
442,14.733333333333333,2207,1063,2245,3037,1219,1601
443,14.766666666666667,2206,1069,2243,3053,1242,1601
444,14.8,2205,1074,2242,3066,1258,1601
445,14.833333333333334,2203,1080,2243,3074,1265,1601
446,14.866666666666667,2201,1088,2245,3078,1271,1601
447,14.9,2198,1097,2246,3082,1275,1601
448,14.933333333333334,2196,1108,2246,3094,1281,1601
449,14.966666666666667,2195,1121,2242,3112,1292,1601
450,15.0,2195,1134,2242,3128,1301,1601
451,15.033333333333333,2195,1144,2242,3144,1310,1601
452,15.066666666666666,2195,1154,2243,3159,1326,1601
453,15.1,2195,1164,2249,3166,1342,1601
454,15.133333333333333,2195,1174,2254,3172,1353,1601
455,15.166666666666666,2195,1182,2258,3176,1363,1601
456,15.2,2195,1190,2265,3177,1374,1601
457,15.233333333333333,2195,1200,2270,3177,1390,1601
458,15.266666666666667,2195,1210,2274,3176,1406,1601
459,15.3,2195,1221,2278,3176,1417,1601
460,15.333333333333334,2195,1234,2282,3175,1430,1601
461,15.366666666666667,2195,1247,2290,3171,1438,1601
462,15.4,2195,1257,2298,3165,1448,1601
463,15.433333333333334,2195,1268,2309,3155,1456,1601
464,15.466666666666667,2195,1280,2318,3141,1457,1601
465,15.5,2195,1295,2325,3124,1460,1601
466,15.533333333333333,2195,1311,2332,3103,1460,1601
467,15.566666666666666,2195,1330,2338,3081,1460,1601
468,15.6,2195,1347,2346,3059,1460,1601
469,15.633333333333333,2195,1361,2356,3037,1460,1601
470,15.666666666666666,2195,1374,2365,3020,1460,1601
471,15.7,2195,1387,2378,3000,1460,1601
472,15.733333333333333,2195,1399,2393,2980,1460,1601
473,15.766666666666667,2195,1411,2405,2962,1460,1601
474,15.8,2195,1421,2421,2941,1460,1601
475,15.833333333333334,2195,1431,2439,2918,1459,1601
476,15.866666666666667,2195,1435,2453,2898,1451,1601
477,15.9,2195,1435,2468,2882,1435,1601
478,15.933333333333334,2195,1437,2479,2867,1422,1601
479,15.966666666666667,2195,1439,2490,2855,1404,1601
480,16.0,2195,1442,2498,2848,1388,1601
481,16.033333333333335,2195,1447,2501,2848,1385,1601
482,16.066666666666666,2195,1452,2506,2850,1382,1601
483,16.1,2195,1455,2512,2855,1374,1601
484,16.133333333333333,2195,1457,2520,2864,1366,1601
485,16.166666666666668,2195,1458,2530,2866,1349,1601
486,16.2,2195,1457,2541,2867,1317,1601
487,16.233333333333334,2195,1456,2554,2867,1271,1602
488,16.266666666666666,2196,1454,2568,2855,1239,1602
489,16.3,2196,1454,2583,2834,1228,1602
490,16.333333333333332,2196,1455,2592,2814,1218,1602
491,16.366666666666667,2195,1458,2597,2801,1203,1602
492,16.4,2195,1465,2602,2782,1191,1601
493,16.433333333333334,2194,1471,2608,2764,1185,1601
494,16.466666666666665,2192,1478,2614,2748,1167,1601
495,16.5,2189,1484,2621,2736,1143,1601
496,16.533333333333335,2188,1492,2630,2716,1128,1601
497,16.566666666666666,2187,1500,2645,2690,1128,1601
498,16.6,2186,1507,2654,2669,1126,1601
499,16.633333333333333,2185,1516,2662,2646,1121,1601
500,16.666666666666668,2183,1524,2669,2626,1121,1601
501,16.7,2181,1533,2675,2610,1121,1601
502,16.733333333333334,2180,1543,2682,2592,1120,1601
503,16.766666666666666,2178,1552,2688,2575,1120,1601
504,16.8,2177,1561,2692,2555,1116,1601
505,16.833333333333332,2175,1570,2698,2535,1106,1601
506,16.866666666666667,2173,1577,2709,2501,1080,1601
507,16.9,2170,1582,2724,2463,1045,1601
508,16.933333333333334,2166,1587,2742,2420,1013,1601
509,16.966666666666665,2164,1594,2762,2370,996,1601
510,17.0,2163,1601,2777,2337,992,1601
511,17.033333333333335,2164,1604,2782,2329,985,1601
512,17.066666666666666,2163,1609,2783,2327,971,1601
513,17.1,2162,1613,2783,2324,955,1601
514,17.133333333333333,2162,1617,2783,2322,945,1601
515,17.166666666666668,2162,1620,2783,2322,939,1601
516,17.2,2162,1623,2783,2324,930,1601
517,17.233333333333334,2161,1626,2783,2322,916,1601
518,17.266666666666666,2157,1632,2783,2315,896,1601
519,17.3,2153,1641,2784,2309,878,1601
520,17.333333333333332,2148,1647,2787,2302,863,1601
521,17.366666666666667,2145,1650,2796,2290,852,1601
522,17.4,2145,1651,2809,2279,849,1601
523,17.433333333333334,2142,1654,2815,2278,848,1601
524,17.466666666666665,2141,1657,2821,2278,852,1601
525,17.5,2141,1662,2824,2282,864,1601
526,17.533333333333335,2139,1671,2817,2294,873,1601
527,17.566666666666666,2138,1679,2800,2321,875,1601
528,17.6,2134,1687,2793,2332,881,1601
529,17.633333333333333,2130,1694,2785,2342,881,1601
530,17.666666666666668,2129,1702,2778,2348,882,1601
531,17.7,2129,1706,2777,2348,882,1601
532,17.733333333333334,2131,1711,2772,2350,882,1601
533,17.766666666666666,2136,1717,2769,2345,884,1601
534,17.8,2138,1727,2769,2337,891,1601
535,17.833333333333332,2138,1733,2768,2335,898,1601
536,17.866666666666667,2138,1734,2767,2329,903,1601
537,17.9,2139,1735,2772,2318,907,1601
538,17.933333333333334,2139,1737,2774,2309,908,1601
539,17.966666666666665,2139,1739,2774,2307,908,1601
540,18.0,2139,1739,2774,2305,908,1601
541,18.033333333333335,2139,1738,2778,2290,908,1601
542,18.066666666666666,2140,1741,2778,2290,908,1601
543,18.1,2141,1746,2771,2298,908,1601
544,18.133333333333333,2144,1749,2762,2314,908,1601
545,18.166666666666668,2144,1749,2753,2338,907,1601
546,18.2,2147,1748,2752,2345,907,1601
547,18.233333333333334,2159,1747,2755,2343,907,1601
